item,pic,title
http://www.wikidata.org/entity/Q17320033,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Mijtens%20002.jpg,Margaretha van Raephorst (d 1690). Wife of Cornelis Tromp
http://www.wikidata.org/entity/Q17319987,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolaes%20Maes%20-%20Meisje%20aan%20het%20venster%2C%20bekend%20als%20%27De%20peinzende%27%20-%20Google%20Art%20Project.jpg,"Girl at a Window, known as ‘The Daydreamer’"
http://www.wikidata.org/entity/Q17319993,http://commons.wikimedia.org/wiki/Special:FilePath/Man%20en%20vrouw%20aan%20de%20maaltijd%20Rijksmuseum%20SK-A-249.jpeg,Man and Woman at a Meal
http://www.wikidata.org/entity/Q17320028,http://commons.wikimedia.org/wiki/Special:FilePath/Emanuel%20Murant%20-%20vervallen%20boerderij.jpg,Farmhouse in ruins
http://www.wikidata.org/entity/Q17319997,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Willem%20I%20%281533-84%29%2C%20prins%20van%20Oranje%2C%20genaamd%20Willem%20de%20Zwijger%20Rijksmuseum%20SK-A-253.jpeg,"Portrait of William I, Prince of Orange, called William the Silent"
http://www.wikidata.org/entity/Q17320032,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Mijtens%20001.jpg,Cornelis Tromp (1629-91). Lieutenant-Admiral General
http://www.wikidata.org/entity/Q17320024,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20een%20meisje%2C%20bekend%20als%20%27Het%20prinsesje%27%20Rijksmuseum%20SK-A-277.jpeg,"Portrait of a girl, known as 'The Little Princess'"
http://www.wikidata.org/entity/Q17320020,http://commons.wikimedia.org/wiki/Special:FilePath/Landschap%2C%20Joos%20de%20Momper%20%28II%29%2C%201590%20-%201635%20-%20Rijksmuseum.jpg,Landscape
http://www.wikidata.org/entity/Q17320035,http://commons.wikimedia.org/wiki/Special:FilePath/Een%20kerkinterieur%20Rijksmuseum%20SK-A-287.jpeg,Church Interior
http://www.wikidata.org/entity/Q17320035,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Neeffs%20de%20Jonge%20-%20Church%20Interior%20-%201168%20-%20Rijksmuseum.jpg,Church Interior
http://www.wikidata.org/entity/Q17319986,http://commons.wikimedia.org/wiki/Special:FilePath/Cornelis%20Ketel%20-%20Paulus%20van%20Vianen.jpg,Portrait of Paulus van Vianen (1550-1613)
http://www.wikidata.org/entity/Q17319988,http://commons.wikimedia.org/wiki/Special:FilePath/De%20spinster%20Rijksmuseum%20SK-A-246.jpeg,Old Woman Spinning
http://www.wikidata.org/entity/Q17320017,http://commons.wikimedia.org/wiki/Special:FilePath/Stilleven%20met%20vruchten%20en%20een%20bokaal%20op%20hanenpoot%20Rijksmuseum%20SK-A-269.jpeg,Still Life with Fruit and a Beaker on a Cock's Foot
http://www.wikidata.org/entity/Q17319950,http://commons.wikimedia.org/wiki/Special:FilePath/Landweg%20met%20jager%20en%20landlieden%20Rijksmuseum%20SK-A-227.jpeg,Country Road with Hunter and Peasants
http://www.wikidata.org/entity/Q17319980,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-%C3%89tienne%20Liotard%20-%20Maria%20Theresia%20van%20Oostenrijk%202.jpg,"Maria Theresa, Archduchess of Austria, Queen of Hungary and Bohemia, and Holy Roman Empress"
http://www.wikidata.org/entity/Q17320006,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Cornelia%20Tedingh%20van%20Berckhout%20%281614-80%29%20Rijksmuseum%20SK-A-260.jpeg,"Portrait of Cornelia Teding van Berckhout, third Wife of Maerten Harpertsz. Tromp"
http://www.wikidata.org/entity/Q17320010,http://commons.wikimedia.org/wiki/Special:FilePath/De%20poelier%20Rijksmuseum%20SK-A-264.jpeg,The Poultry Seller
http://www.wikidata.org/entity/Q17319798,http://commons.wikimedia.org/wiki/Special:FilePath/Het%20huwelijk%20van%20Maria%20met%20Jozef%20Rijksmuseum%20SK-A-109.jpeg,Marriage of Mary and Joseph
http://www.wikidata.org/entity/Q17319769,http://commons.wikimedia.org/wiki/Special:FilePath/Italiaans%20landschap%20met%20herderin%20en%20vee%20Rijksmuseum%20SK-A-85.jpeg,Italian Landscape with Shepherdess and Flocks
http://www.wikidata.org/entity/Q17319781,http://commons.wikimedia.org/wiki/Special:FilePath/Italiaans%20landschap%20Rijksmuseum%20SK-A-94.jpeg,Italian Landscape
http://www.wikidata.org/entity/Q17319772,http://commons.wikimedia.org/wiki/Special:FilePath/De%20avondschool%20Rijksmuseum%20SK-A-87.jpeg,The Night School
